HudongItem1,relation,HudongItem2
尼尔斯·玻尔,place of death,哥本哈根
理查德·欧文,writing languages,英语
阿莫迪欧·阿伏伽德罗,noble title,伯爵
池赫拉,occupation,歌手
高崇熙,writing languages,文言文
智利,continent,南美洲
智利,country,智利
智利,capital,圣地亚哥
阿莫迪欧·阿伏伽德罗,languages spoken written or signed,意大利语
贸易,said to be the same as,商业
智利,located in or next to body of water,太平洋
阿莫迪欧·阿伏伽德罗,occupation,物理学家
智利,lowest point,太平洋
行星,model item,地球
理查德·欧文,field of work,古生物学
行星,model item,火星
理查德·欧文,member of,瑞典皇家科学院
尼尔斯·玻尔,languages spoken written or signed,英语
阿联酋,diplomatic relation,加拿大
尼尔斯·玻尔,languages spoken written or signed,丹麦语
阿联酋,diplomatic relation,德国
尼尔斯·玻尔,writing languages,英语
阿联酋,diplomatic relation,澳大利亚
智利,diplomatic relation,意大利
尼尔斯·玻尔,occupation,物理学家
智利,diplomatic relation,巴西
智利,diplomatic relation,德国
阿联酋,diplomatic relation,以色列
智利,diplomatic relation,澳大利亚
阿联酋,diplomatic relation,法国
智利,diplomatic relation,以色列
阿联酋,diplomatic relation,中华人民共和国
智利,diplomatic relation,塞尔维亚
阿联酋,diplomatic relation,英国
阿联酋,diplomatic relation,埃及
智利,diplomatic relation,牙买加
理查德·欧文,educated at,爱丁堡大学
尼尔斯·玻尔,employer,哥本哈根大学
智利,diplomatic relation,萨尔瓦多
理查德·欧文,residence,英格兰
尼尔斯·玻尔,position held,教授
阿联酋,diplomatic relation,阿尔及利亚
理查德·欧文,notable work,自然史博物馆
智利,diplomatic relation,法国
阿联酋,diplomatic relation,丹麦
智利,diplomatic relation,英国
智利,diplomatic relation,爱沙尼亚
阿联酋,diplomatic relation,肯尼亚
智利,diplomatic relation,克罗地亚
阿联酋,diplomatic relation,黎巴嫩
智利,diplomatic relation,印度尼西亚
阿联酋,diplomatic relation,马来西亚
智利,diplomatic relation,西班牙
尼尔斯·玻尔,member of,瑞典皇家科学院
智利,diplomatic relation,奥地利
智利,diplomatic relation,阿根廷
阿联酋,diplomatic relation,叙利亚
李祹,religion,佛教
阿联酋,diplomatic relation,巴基斯坦
智利,diplomatic relation,丹麦
阿联酋,diplomatic relation,印度尼西亚
智利,diplomatic relation,秘鲁
阿联酋,diplomatic relation,菲律宾
阿联酋,diplomatic relation,墨西哥
智利,diplomatic relation,乌拉圭
智利,diplomatic relation,海地
阿联酋,diplomatic relation,索马里
智利,diplomatic relation,马来西亚
阿联酋,diplomatic relation,印度
智利,diplomatic relation,巴基斯坦
阿联酋,diplomatic relation,俄罗斯
尼尔斯·玻尔,educated at,哥本哈根大学
智利,diplomatic relation,菲律宾
阿联酋,diplomatic relation,塞尔维亚
智利,diplomatic relation,美国
尼尔斯·玻尔,educated at,剑桥大学
智利,diplomatic relation,俄罗斯
智利,diplomatic relation,印度
阿联酋,diplomatic relation,匈牙利
智利,diplomatic relation,希腊
智利,diplomatic relation,中华人民共和国
阿联酋,member of,联合国
智利,diplomatic relation,墨西哥
智利,diplomatic relation,匈牙利
阿联酋,member of,世界贸易组织
智利,member of,联合国
尼尔斯·玻尔,student of,欧内斯特·卢瑟福
阿联酋,member of,国际开发协会
智利,member of,经济合作与发展组织
芝加哥,twinned administrative body,卢塞恩
智利,member of,世界贸易组织
智利,member of,亚太经济合作组织
尼尔斯·玻尔,residence,丹麦
芝加哥,twinned administrative body,德班
尼尔斯·玻尔,residence,瑞典
智利,member of,国际开发协会
尼尔斯·玻尔,residence,英格兰
芝加哥,twinned administrative body,墨西哥城
尼尔斯·玻尔,residence,美国
尼尔斯·玻尔,residence,哥本哈根
尼尔斯·玻尔,affiliation,剑桥大学
阿联酋,member of,国际电信联盟
芝加哥,twinned administrative body,雅典
尼尔斯·玻尔,sport,足球
智利,member of,国际电信联盟
芝加哥,twinned administrative body,伯明翰
阿联酋,member of,世界气象组织
尼尔斯·玻尔,award received,诺贝尔物理学奖
芝加哥,twinned administrative body,汉堡
智利,member of,世界气象组织
芝加哥,twinned administrative body,莫斯科
芝加哥,twinned administrative body,巴黎
芝加哥,twinned administrative body,悉尼
芝加哥,twinned administrative body,新德里
尼尔斯·玻尔,nominated for,诺贝尔物理学奖
阿联酋,language used,英语
尼尔斯·玻尔,nominated for,诺贝尔物理学奖
尼尔斯·玻尔,nominated for,诺贝尔物理学奖
尼尔斯·玻尔,nominated for,诺贝尔物理学奖
尼尔斯·玻尔,nominated for,诺贝尔物理学奖
尼尔斯·玻尔,nominated for,诺贝尔物理学奖
智利,shares border with,阿根廷
智利,shares border with,秘鲁
智利,language used,西班牙语
智利,emergency phone number,131
智利,emergency phone number,132
智利,emergency phone number,130
国旗,represents,国家
目的,instance of,概念
拍拍网,country,中华人民共和国
Show,different from,Show
综艺,instance of,企业
印刷,subclass of,过程
济科,sex or gender,男
Show,different from,Show
综艺,country,美国
济科,country of citizenship,巴西
腾讯电脑管家,instance of,软件
Live,different from,Live
综艺,headquarters location,洛杉矶
济科,country of citizenship,葡萄牙
内蒙古科技大学,country,中华人民共和国
唐·伯吉斯,sex or gender,男
济科,country for sport,巴西
gnu,endemic to,非洲
唐·伯吉斯,country of citizenship,美国
Live,different from,Live
印刷,used by,宗教改革
庄田,part of,庄田
霍秉权,sex or gender,男
Valve,different from,Valve
日语,subclass of,孤立语言
Live,different from,Live
综艺,place of publication,纽约
乔万尼·薄伽丘,sex or gender,男
搜索引擎,subclass of,软件
路易斯安那州,country,美国
霍秉权,country of citizenship,中华人民共和国
Valve,different from,Valve
日语,country,日本
Live,different from,Live
综艺,country of origin,美国
冯景兰,sex or gender,男
中华人民共和国信息产业部,country,中华人民共和国
庄田,language of work or name,日语
日语,country,美国
综艺,language of work or name,英语
济科,place of birth,里约热内卢
自然人,instance of,概念
冯景兰,country of citizenship,中华人民共和国
三国,followed by,晋朝
路易斯安那州,located in the administrative territorial entity,美国
Live,different from,Live
首都师范大学,country,中华人民共和国
Pango,instance of,自由软件
路易斯安那州,located in or next to body of water,墨西哥湾
Live,different from,Live
NBA,country,加拿大
卡路里,measured physical quantity,能量
霍秉权,occupation,物理学家
欧洲,part of,地球
Live,different from,Live
NBA,country,美国
冯景兰,sibling,冯友兰
霍秉权,employer,清华大学
日语,country,秘鲁
Live,different from,Live
济科,occupation,博主
霍秉权,employer,吉林大学
日语,country,澳大利亚
Live,different from,Live
Emma,language of work or name,意大利语
卡路里,different from,卡路里
Pango,copyright license,GNU宽通用公共许可证
冯景兰,occupation,教师
霍秉权,employer,郑州大学
日语,country,巴西
Live,different from,Live
乔万尼·薄伽丘,native language,意大利语
厄勒海峡,country,瑞典
霍秉权,employer,国立西南联合大学
Live,different from,Live
济科,residence,里约热内卢
乔万尼·薄伽丘,languages spoken written or signed,拉丁语
厄勒海峡,country,丹麦
庄田,said to be the same as,庄田
欧洲,located on terrain feature,北半球
乔万尼·薄伽丘,languages spoken written or signed,意大利语
冯景兰,educated at,北京大学
厄勒海峡,shares border with,波罗的海
庄田,said to be the same as,庄田
霍秉权,educated at,剑桥大学
日语,linguistic typology,黏着语
乔万尼·薄伽丘,writing languages,拉丁语
厄勒海峡,shares border with,卡特加特海峡
庄田,said to be the same as,庄田
Live,different from,Live
Live,different from,Live
Live,different from,Live
Live,different from,Live
济科,sport,足球
Live,different from,Live
欧洲,shares border with,亚洲
Live,different from,Live
乔万尼·薄伽丘,occupation,作家
日语,indigenous to,日本
欧洲,has part,中欧
欧洲,different from,欧洲联盟
QQ拼音输入法,instance of,软件
王力,sex or gender,男
QQ拼音输入法,developer,腾讯
王力,country of citizenship,中华人民共和国
framework,subclass of,计算机程序
BBX,instance of,基因
.net,country of origin,英国
动量,calculated from,质量
杨幂,country of citizenship,中华人民共和国
赵家正,sex or gender,男
法国大革命,country,法国
罗比尼奥,sex or gender,男
吉安路易吉·布冯,sex or gender,男
拓麻歌子,country of origin,日本
忻钰坤,sex or gender,男
深圳河,instance of,河流
赵家正,country of citizenship,美国
法国大革命,location,法国
罗比尼奥,country of citizenship,巴西
国务院新闻办公室,part of,中华人民共和国国务院
吉安路易吉·布冯,country of citizenship,意大利
拓麻歌子,language of work or name,日语
忻钰坤,country of citizenship,中华人民共和国
塞音,subclass of,辅音
内蒙古师范大学,country,中华人民共和国
深圳河,country,中华人民共和国
罗比尼奥,country of citizenship,西班牙
吉安路易吉·布冯,country for sport,意大利
杨天翔,sex or gender,男
赤兔马,instance of,马
忻钰坤,native language,汉语
应用数学,subclass of,数学
深圳河,located in the administrative territorial entity,香港
冯骏骅,educated at,上海师范大学
罗比尼奥,country for sport,巴西
国务院新闻办公室,country,中华人民共和国
莱索托,instance of,国家
杨天翔,country of citizenship,中华人民共和国
刘泽荣,sex or gender,男
赤兔马,named after,红色
忻钰坤,languages spoken written or signed,汉语
冰岛语,country,丹麦
刘泽荣,country of citizenship,中华人民共和国
杨幂,occupation,歌手
赵家正,languages spoken written or signed,英语
冰岛语,country,美国
冰岛语,country,加拿大
王力,languages spoken written or signed,汉语
拉丁文,country of origin,古希腊
Material,country of origin,美国
应用数学,has part,计算数学
罗比尼奥,languages spoken written or signed,葡萄牙语
杨幂,religion,佛教
刘泽荣,employer,北京大学
Material,location of formation,纽约
吉安路易吉·布冯,languages spoken written or signed,意大利语
莱索托,official language,英语
王力,field of work,语言学
液体,greater than,气体
罗比尼奥,league,英格兰足球超级联赛
王力,employer,北京大学
罗比尼奥,member of sports team,桑托斯足球俱乐部
王力,employer,清华大学
莱索托,continent,非洲
王力,employer,中山大学
莱索托,country,莱索托
王力,educated at,清华大学
罗比尼奥,member of sports team,桑托斯足球俱乐部
罗比尼奥,member of sports team,桑托斯足球俱乐部
莱索托,basic form of government,君主立宪制
罗比尼奥,sport,足球
吉安路易吉·布冯,sport,足球
莱索托,diplomatic relation,德国
莱索托,diplomatic relation,美国
莱索托,diplomatic relation,俄罗斯
莱索托,diplomatic relation,印度
莱索托,member of,联合国
莱索托,member of,世界贸易组织
莱索托,member of,国际开发协会
莱索托,member of,国际电信联盟
莱索托,member of,世界气象组织
莱索托,language used,英语
拿来主义,language of work or name,汉语
SLG,instance of,基因
QQ词典,instance of,软件
井深大,sex or gender,男
国语,instance of,官方语言
浙江,instance of,河流
井深大,country of citizenship,日本
杜朗,country,法国
国语,instance of,方言
洛川县,country,中华人民共和国
道琼斯公司,instance of,商业
圣文森特和格林纳丁斯,instance of,国家
Roslyn,country,美国
乌拉圭民族足球俱乐部,country,乌拉圭
道琼斯公司,instance of,企业
国语,subclass of,繁体中文
约翰·弥尔顿,sex or gender,男
刘涛,country of citizenship,中华人民共和国
道琼斯公司,industry,新闻
井深大,place of death,东京
浙江,country,中华人民共和国
约翰·弥尔顿,country of citizenship,英格兰王国
设备,subclass of,产品
韦斯利·斯内德,sex or gender,男
设备,has parts of the class,工具
丁声树,language of work or name,汉语
丁声树,published in,方言
井深大,languages spoken written or signed,日语
圣文森特和格林纳丁斯,official language,英语
刘涛,educated at,广东外语外贸大学
乌拉圭民族足球俱乐部,sport,足球
井深大,occupation,工程师
圣文森特和格林纳丁斯,continent,北美洲
井深大,occupation,作家
圣文森特和格林纳丁斯,country,圣文森特和格林纳丁斯
圣文森特和格林纳丁斯,capital,金斯敦
圣文森特和格林纳丁斯,lowest point,加勒比海
道琼斯公司,headquarters location,纽约
圣文森特和格林纳丁斯,basic form of government,君主立宪制
圣文森特和格林纳丁斯,head of state,伊丽莎白二世
韦斯利·斯内德,member of sports team,阿贾克斯足球俱乐部
圣文森特和格林纳丁斯,diplomatic relation,美国
约翰·弥尔顿,native language,英语
圣文森特和格林纳丁斯,member of,联合国
约翰·弥尔顿,languages spoken written or signed,拉丁语
约翰·弥尔顿,languages spoken written or signed,希腊语
圣文森特和格林纳丁斯,member of,世界贸易组织
韦斯利·斯内德,sport,足球
约翰·弥尔顿,languages spoken written or signed,英语
约翰·弥尔顿,writing languages,英语
圣文森特和格林纳丁斯,member of,国际开发协会
约翰·弥尔顿,occupation,作家
圣文森特和格林纳丁斯,member of,国际电信联盟
圣文森特和格林纳丁斯,language used,英语
张宗祜,sex or gender,男
张宗祜,country of citizenship,中华人民共和国
丘成桐,sex or gender,男
李白,sex or gender,男
周鸿祎,sex or gender,男
张一鸣,sex or gender,男
丘成桐,country of citizenship,美国
周鸿祎,country of citizenship,中华人民共和国
张一鸣,country of citizenship,中华人民共和国
张宗祜,educated at,北京大学
李琦,sex or gender,男
迈克尔·克莱顿,sex or gender,男
雷海宗,sex or gender,男
丘成桐,country of citizenship,中华人民共和国
香港大学深圳医院,country,中华人民共和国
迈克尔·克莱顿,country of citizenship,美国
高斌,sex or gender,男
印度河流域文明,part of,青铜时代
雷海宗,languages spoken written or signed,汉语
张一鸣,educated at,南开大学
李克,language of work or name,英语
印度河流域文明,country,印度
迈克尔·克莱顿,place of birth,芝加哥
雷海宗,educated at,清华大学
丘成桐,languages spoken written or signed,英语
周鸿祎,educated at,西安交通大学
加利福尼亚州,official language,英语
迈克尔·克莱顿,place of death,洛杉矶
雷海宗,educated at,芝加哥大学
林依晨,occupation,歌手
丘成桐,occupation,教授
李白,languages spoken written or signed,文言文
加利福尼亚州,continent,北美洲
李白,writing languages,汉语
加利福尼亚州,country,美国
迈克尔·克莱顿,languages spoken written or signed,英语
丘成桐,field of work,数学
加利福尼亚州,located in the administrative territorial entity,美国
丘成桐,employer,哈佛大学
加利福尼亚州,located in or next to body of water,太平洋
李白,occupation,作家
李克,said to be the same as,里卡多
李白,work location,中国
丘成桐,employer,浙江大学
迈克尔·克莱顿,employer,芝加哥大学
迈克尔·克莱顿,employer,剑桥大学
丘成桐,member of,中国科学院
迈克尔·克莱顿,educated at,哈佛大学
丘成桐,doctoral advisor,陈省身
丘成桐,student of,陈省身
丘成桐,residence,美国
加利福尼亚州,contains administrative territorial entity,纳帕县
加利福尼亚州,shares border with,内华达州
跨国公司,subclass of,商业
阿里巴巴集团,instance of,商业
航空工程,instance of,科学
内容分发网络,subclass of,计算机网络
阿里巴巴集团,instance of,企业
褐煤,subclass of,煤
猎户座流星雨,instance of,流星雨
印第安纳大学,country,美国
阿里巴巴集团,industry,电子商务
德语方言,subclass of,德语
遂平县,country,中华人民共和国
赵雷,sex or gender,男
Promise,country of origin,美国
苏格拉底,sex or gender,男
Promise,original language of film or TV show,英语
赵雷,occupation,歌手
中国电子学会,country,中华人民共和国
blogger,subclass of,作家
波士顿凯尔特人队,country,美国
潮汐,use,潮汐能
冯仑,educated at,西北大学
阿里巴巴集团,country,中华人民共和国
阿里巴巴集团,country,英国
苏格拉底,place of death,雅典
苏格拉底,manner of death,死刑
波士顿凯尔特人队,headquarters location,波士顿
阿里巴巴集团,legal form,股份有限公司
印第安纳大学,subsidiary,印第安纳大学
印第安纳大学,language used,英语
苏格拉底,occupation,哲学家
苏格拉底,field of work,哲学
苏格拉底,student,柏拉图
Promise,cast member,詹姆斯·克伦威尔
阿里巴巴集团,subsidiary,淘宝网
阿里巴巴集团,owner of,滴滴出行
阿里巴巴集团,owner of,口碑网
高地德语,country,德国
高地德语,country,奥地利
打字机,subclass of,机械
词形变化,subclass of,变化
高地德语,country,瑞士
打字机,material used,铁
高地德语,country,法国
脉冲星,subclass of,中子星
香港科技大学,country,中华人民共和国
高地德语,country,意大利
戴立忍,sex or gender,男
匈牙利,instance of,国家
脉冲星,subclass of,白矮星
香港科技大学,located in the administrative territorial entity,香港
艾伦,family name identical to this given name,艾伦
英仙座流星雨,instance of,流星雨
江泽涵,sex or gender,男
陈郁,sex or gender,男
KDDI,instance of,商业
2007年,followed by,2008年
有一个地方只有我们知道,country of origin,中华人民共和国
陈郁,country of citizenship,中华人民共和国
哲学家,field of this occupation,哲学
KDDI,instance of,企业
有一个地方只有我们知道,original language of film or TV show,汉语
脊梁,language of work or name,汉语
陈郁,country for sport,中华人民共和国
世界杯金球奖,sport,足球
罗姓,writing system,汉字
美国参谋长联席会议,country,美国
美国参谋长联席会议,parent organization,美国国防部
KDDI,founded by,稻盛和夫
江泽涵,employer,厦门大学
美国参谋长联席会议,headquarters location,五角大楼
KDDI,country,日本
匈牙利,continent,欧洲
江泽涵,employer,北京大学
匈牙利,country,匈牙利
江泽涵,educated at,南开大学
江泽涵,educated at,哈佛大学
浑身是劲,country of origin,美国
匈牙利,located in or next to body of water,多瑙河
浑身是劲,original language of film or TV show,英语
KDDI,owned by,京瓷
有一个地方只有我们知道,filming location,捷克
KDDI,owned by,丰田汽车
KDDI,parent organization,京瓷
匈牙利,located on terrain feature,中欧
浑身是劲,film editor,保罗·赫希
匈牙利,diplomatic relation,阿尔及利亚
匈牙利,diplomatic relation,美国
匈牙利,diplomatic relation,阿根廷
匈牙利,diplomatic relation,澳大利亚
匈牙利,diplomatic relation,奥地利
匈牙利,diplomatic relation,巴哈马
匈牙利,diplomatic relation,巴巴多斯
匈牙利,diplomatic relation,比利时
增值服务,subclass of,服务
计算机辅助设计,subclass of,过程
QDOS,instance of,操作系统
内地与香港关于建立更紧密经贸关系的安排,language of work or name,汉语
计算机辅助设计,subclass of,应用软件
济济尼奥,sex or gender,男
习近平,sex or gender,男
废弃物,subclass of,材料
计算机辅助设计,part of,计算机科学
济济尼奥,country of citizenship,巴西
习近平,country of citizenship,中华人民共和国
林徽因,country of citizenship,中华人民共和国
澳大利亚英语,subclass of,英语
丰田汽车,instance of,商业
实数,subclass of,复数
QDOS,replaces,QDOS
物理学家,field of this occupation,物理学
济济尼奥,country for sport,巴西
now,part of,时间
上海师范大学,country,中华人民共和国
物理学家,different from,医生
丰田汽车,instance of,企业
济济尼奥,place of birth,里约热内卢
丰田汽车,country,日本
猫,country of origin,英国
习近平,native language,汉语
猫,language of work or name,英语
林徽因,spouse,梁思成
习近平,writing languages,汉语
林徽因,languages spoken written or signed,汉语
济济尼奥,sport,足球
习近平,occupation,工程师
林徽因,ancestral home,长乐区
林徽因,occupation,建筑师
习近平,occupation,哲学家
习近平,employer,中华人民共和国全国人民代表大会
林徽因,occupation,作家
林徽因,employer,清华大学
林徽因,employer,国立西南联合大学
习近平,educated at,清华大学
习近平,educated at,清华大学
习近平,member of political party,中国共产党
丰田汽车,owner of,KDDI
物理层,followed by,数据链路层
system,subclass of,结构
维生素A,subclass of,维生素
东北石油大学,country,中华人民共和国
曾加,sex or gender,男
蔡伦,sex or gender,男
曾加,country of citizenship,意大利
First,different from,First
曹操,sex or gender,男
Media,country,美国
丁伟,sex or gender,男
system,studied by,控制论
蔡伦,country of citizenship,汉朝
竹简,subclass of,格式
曹操,country of citizenship,东汉
丁伟,country of citizenship,中华人民共和国
Player,country of origin,美国
白敬亭,sex or gender,男
旧金山纪事报,country,美国
丁伟,country for sport,中华人民共和国
Player,original language of film or TV show,英语
胡安·卡洛斯一世,sex or gender,男
弗雷德里克斯堡,country,美国
QQ,country,中华人民共和国
咖啡,country of origin,埃塞俄比亚
Player,language of work or name,英语
QQ自由幻想,genre,大型多人在线角色扮演游戏
自贡,language of work or name,汉语
加州理工学院,country,美国
胡安·卡洛斯一世,country of citizenship,西班牙
奥林匹克博物馆,country,瑞士
QQ,owned by,腾讯
咖啡,country of origin,墨西哥
蔡文姬,country of citizenship,中国
奥林匹克博物馆,located in the administrative territorial entity,洛桑
QQ,country of origin,中华人民共和国
奥林匹克博物馆,location,洛桑
QQ,language of work or name,汉语
旧金山纪事报,country of origin,美国
丁伟,educated at,北京外国语大学
白敬亭,educated at,首都师范大学
奥林匹克博物馆,owned by,国际奥林匹克委员会
QQ,operator,腾讯
旧金山纪事报,language of work or name,英语
维生素A,subject has role,维生素
曾加,native language,意大利语
蔡文姬,place of death,中国
加利福尼亚大学,country,美国
QQ,developer,腾讯
曾加,languages spoken written or signed,意大利语
蔡文姬,father,蔡邕
QQ,operating system,Linux
胡安·卡洛斯一世,place of birth,罗马
QQ,operating system,Android
蔡文姬,occupation,作曲家
蔡文姬,occupation,作家
QQ,operating system,iOS
QQ,programming language,C++
加州理工学院,headquarters location,加利福尼亚州
加州理工学院,language used,英语
曾加,sport,足球
曹操,child,曹冲
加利福尼亚大学,language used,英语
胡安·卡洛斯一世,languages spoken written or signed,西班牙语
胡安·卡洛斯一世,religion,天主教
曹操,relative,何晏
曹操,languages spoken written or signed,汉语
曹操,occupation,作家
Player,narrative location,洛杉矶
Player,filming location,洛杉矶
Player,filming location,加利福尼亚州
颈椎,instance of,骨骼
按钮,subclass of,输入设备
归去来,country of origin,中华人民共和国
秀兰玛雅,occupation,歌手
归去来,director,刘江
归去来,cast member,唐嫣
按钮,part of,鼠标
聂荣臻,sex or gender,男
瑞士法郎,country,瑞士
英雄传说6：空之轨迹,country of origin,日本
聂荣臻,country of citizenship,中华人民共和国
SRAM,different from,随机存取存储器
瑞士法郎,applies to jurisdiction,瑞士
聂荣臻,allegiance,中华人民共和国
瑞士法郎,central bank/issuer,瑞士国家银行
瓦隆-布拉班特省,named after,瓦隆
聂荣臻,allegiance,中国共产党
瓦隆-布拉班特省,continent,欧洲
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,sex or gender,男
瓦隆-布拉班特省,country,比利时
瓦隆-布拉班特省,located in the administrative territorial entity,瓦隆
vsir,instance of,基因
雅各布·格林,sex or gender,男
雅各布·格林,country of citizenship,德国
地址,subclass of,位置
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,country of citizenship,苏联
宁浩,sex or gender,男
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,allegiance,苏联
聂荣臻,occupation,作家
宁浩,country of citizenship,中华人民共和国
聂荣臻,occupation,工程师
于绍良,educated at,河北大学
深圳港,country,中华人民共和国
于绍良,member of political party,中国共产党
唐家三少,sex or gender,男
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,place of death,莫斯科
唐家三少,country of citizenship,中华人民共和国
雅各布·格林,place of death,柏林
吉克隽逸,country of citizenship,中华人民共和国
SMS,manufacturer,世嘉公司
瓦隆-布拉班特省,language used,法语
聂荣臻,member of political party,中国共产党
日本电气股份有限公司,instance of,商业
郭涛,sex or gender,男
唐家三少,occupation,作家
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,native language,俄语
日本电气股份有限公司,instance of,企业
郭涛,country of citizenship,中华人民共和国
唐家三少,educated at,河北大学
吉克隽逸,occupation,歌手
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,languages spoken written or signed,俄语
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,writing languages,俄语
日本电气股份有限公司,industry,信息技术
宁浩,notable work,疯狂的赛车
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,occupation,作家
雅各布·格林,sibling,威廉·格林
研究所,field of work,研究
印象初,country of citizenship,中华人民共和国
日本电气股份有限公司,industry,电子学
刘瑞琦,occupation,歌手
研究所,field of work,科学
日本电气股份有限公司,country,日本
雅各布·格林,languages spoken written or signed,德语
张若昀,sex or gender,男
天工开物,language of work or name,汉语
印象初,educated at,河北大学
雅各布·格林,writing languages,德语
小乔治·史密斯·巴顿,sex or gender,男
尼古拉·阿列克谢耶维奇·奥斯特洛夫斯基,genre,散文
iOS,instance of,软件
小乔治·史密斯·巴顿,country of citizenship,美国
袁锦麟,sex or gender,男
小乔治·史密斯·巴顿,country for sport,美国
multi-touch,different from,快捷键
胡锦涛,sex or gender,男
小乔治·史密斯·巴顿,allegiance,美国
胡锦涛,country of citizenship,中华人民共和国
BADA,country,英国
全国英语等级考试,country,中华人民共和国
iOS,language of work or name,法语
双子座流星雨,instance of,流星雨
iOS,language of work or name,英语
程序,subclass of,过程
iOS,language of work or name,西班牙语
iOS,language of work or name,日语
胡锦涛,languages spoken written or signed,汉语
iOS,language of work or name,意大利语
要素,country of origin,德国
iOS,language of work or name,葡萄牙语
要素,country of origin,美国
胡锦涛,occupation,工程师
iOS,language of work or name,俄语
要素,original language of film or TV show,英语
iOS,language of work or name,德语
iOS,language of work or name,丹麦语
雅各布·格林,occupation,作家
潮南区,country,中华人民共和国
日本电气股份有限公司,product or material produced,硬件
奥迪,instance of,企业
小乔治·史密斯·巴顿,languages spoken written or signed,英语
霍安·卡普德维拉,sex or gender,男
向文波,country of citizenship,中华人民共和国
耶稣,sex or gender,男
波音,instance of,上市公司
霍安·卡普德维拉,country of citizenship,西班牙
潮南区,contains administrative territorial entity,成田镇
iOS,language of work or name,挪威语
波音,instance of,商业
iOS,language of work or name,希腊语
陈景润,sex or gender,男
波音,instance of,企业
陈景润,country of citizenship,中华人民共和国
比特彗星,product or material produced,软件
河北科技大学理工学院,language of work or name,汉语
胡锦涛,educated at,清华大学
霍安·卡普德维拉,languages spoken written or signed,西班牙语
查理曼帝国,part of,日耳曼人
城市猎人,country of origin,日本
奥迪,country,德国
胡锦涛,member of political party,中国共产党
比特彗星,programming language,C++
城市猎人,original language of film or TV show,日语
显示器,has part,阴极射线管
城市猎人,language of work or name,日语
耶稣,manner of death,死刑
陈景润,employer,厦门大学
陈景润,employer,华中科技大学
小乔治·史密斯·巴顿,conflict,第二次世界大战
陈景润,educated at,中国科学院
耶稣,place of burial,耶路撒冷
陈景润,educated at,厦门大学
陈景润,doctoral advisor,华罗庚
雅各布·格林,work location,柏林
波音,country,美国
iOS,programming language,C++
iOS,programming language,Objective-C
波音,legal form,股份有限公司
霍安·卡普德维拉,sport,足球
iOS,programming language,Java
波音,legal form,上市公司
iOS,has list,iOS
iOS,history of topic,iOS
iOS,update method,iTunes
波音,headquarters location,芝加哥
耶稣,worshipped by,基督教
耶稣,had as last meal,醋
大鹏新区,country,中华人民共和国
艾青,sex or gender,男
马克思主义,instance of,经济理论
艾青,country of citizenship,中华人民共和国
血色浪漫,language of work or name,汉语
毛泽东,sex or gender,男
卢森堡,instance of,国家
马克思主义,named after,卡尔·马克思
托福,instance of,测试
湖北理工学院,country,中华人民共和国
毛泽东,country of citizenship,中华人民共和国
计算数学,subclass of,数学
成田镇,country,中华人民共和国
马克思主义,discoverer or inventor,卡尔·马克思
刘恢先,sex or gender,男
特伦顿·哈塞尔,sex or gender,男
花旗银行,instance of,银行
成田镇,located in the administrative territorial entity,潮南区
马克思主义,discoverer or inventor,弗里德里希·恩格斯
刘恢先,country of citizenship,中华人民共和国
特伦顿·哈塞尔,country of citizenship,美国
花旗银行,instance of,商业
开发者,has effect,源代码
托福,language of work or name,英语
特伦顿·哈塞尔,country for sport,美国
叶璇,country of citizenship,美国
叶璇,country of citizenship,中华人民共和国
卢森堡,official language,卢森堡语
刘恢先,occupation,工程师
叶璇,given name,米歇尔
卢森堡,official language,法语
艾青,languages spoken written or signed,汉语
刘恢先,employer,浙江大学
卢森堡,official language,德语
艾青,occupation,作家
花旗银行,country,美国
刘恢先,member of political party,中国共产党
花旗银行,legal form,上市公司
卢森堡,continent,欧洲
艾青,educated at,中国美术学院
卢森堡,country,卢森堡
卢森堡,basic form of government,君主立宪制
毛泽东,child,毛岸英
花旗银行,headquarters location,纽约
毛泽东,languages spoken written or signed,汉语
波士顿,continent,北美洲
波士顿,country,美国
毛泽东,occupation,作家
毛泽东,occupation,哲学家
毛泽东,employer,北京大学
毛泽东,movement,马克思列宁主义
毛泽东,member of political party,中国共产党
卢森堡,diplomatic relation,法国
卢森堡,diplomatic relation,德国
卢森堡,diplomatic relation,比利时
卢森堡,diplomatic relation,意大利
卢森堡,diplomatic relation,越南
卢森堡,diplomatic relation,美国
卢森堡,diplomatic relation,俄罗斯
卢森堡,diplomatic relation,中华人民共和国
波士顿,twinned administrative body,雅典
卢森堡,diplomatic relation,欧洲联盟
卢森堡,diplomatic relation,匈牙利
卢森堡,member of,欧洲委员会
卢森堡,member of,欧洲联盟
卢森堡,member of,北大西洋公约组织
卢森堡,member of,联合国
卢森堡,member of,经济合作与发展组织
卢森堡,member of,世界贸易组织
波士顿,shares border with,牛顿
