HudongItem,relation,NewNode
平装书,part of,softcover
中国信息安全测评中心,headquarters location,海淀区
132,topic's main category,Category:132年
纳帕县,capital,纳帕
遥控器,use,遥控操作
德班,capital of,德班大都会自治市
欧几里得,writing languages,古希腊语
戴芳澜,educated at,康乃尔大学
黄庭坚,place of death,苍南县
氏族社会,topic's main template,Template:Infobox clan
MESSENGER,space launch vehicle,德尔塔-2运载火箭
巴布亚新几内亚,language used,Buna
美国国防部,office held by head of the organization,美国国防部长
木下邦家,family name,木下
现在分词,described by source,格拉纳特百科词典
平装书,opposite of,精装书
量子力学,creator,马克斯·普朗克
遥控器,source of energy,电池
德班,located in the administrative territorial entity,德班大都会自治市
欧几里得,occupation,数学家
黄庭坚,father,黄庶
氏族社会,topic's main category,Category:氏族
MESSENGER,operator,美国国家航空航天局
巴布亚新几内亚,language used,Baimak
美国国防部,chairperson,马克·埃斯柏
木下邦家,place of birth,大东市
平装书,described by source,亚美尼亚苏维埃百科全书
纳帕县,contains administrative territorial entity,纳帕
遥控器,source of energy,蓄电池
德班,located in the administrative territorial entity,夸祖鲁-纳塔尔省
黄庭坚,spouse,孙氏(黄庭坚妻)
MESSENGER,operator,约翰·霍普金斯大学应用物理实验室
巴布亚新几内亚,language used,Biyom
威斯特伐利亚和约,signatory,法兰西王国
平装书,different from,softcover
量子力学,creator,路易·德布罗意
纳帕县,located in time zone,UTC−08:00
Search,director,弗雷德·金尼曼
德班,located in the administrative territorial entity,纳塔尔省
欧几里得,field of work,几何学
黄庭坚,spouse,谢氏(黄庭坚妻)
MESSENGER,manufacturer,约翰·霍普金斯大学应用物理实验室
巴布亚新几内亚,language used,Bagupi
美国国防部,parent organization,美国联邦政府
木下邦家,occupation,演员
平装书,different from,口袋书
纳帕县,located in time zone,UTC−07:00
遥控器,has part,发光二极管
Search,screenwriter,理查德 史威泽
德班,located in time zone,UTC+02:00
欧几里得,residence,亚历山大港
黄庭坚,child,黄相
MESSENGER,described by source,Lentapedia
巴布亚新几内亚,language used,Saliba
美国国防部,subsidiary,沃尔特里德国家军事医疗中心
木下邦家,occupation,电影演员
平装书,different from,软精装
量子力学,creator,维尔纳·海森堡
纳帕县,shares border with,莱克县
遥控器,has part,印刷电路板
Search,screenwriter,大卫·韦克斯勒
德班,twinned administrative body,新奥尔良
欧几里得,ethnic group,希腊人
巴布亚新几内亚,language used,Finongan
美国国防部,subsidiary,美国陆军传染病医学研究所
威斯特伐利亚和约,described by source,Nordisk familjebok
木下邦家,occupation,电影导演
平装书,topic's main category,Category:Paperbacks (bookbinding)
量子力学,creator,约翰·冯·诺伊曼
纳帕县,shares border with,优洛县
遥控器,different from,遥控操作
Search,cast member,蒙哥马利·克利夫特
德班,twinned administrative body,里兹市
黄庭坚,occupation,诗人
巴布亚新几内亚,language used,Aruop
美国国防部,subsidiary,美国空军研究实验室
威斯特伐利亚和约,described by source,亚美尼亚苏维埃百科全书
木下邦家,educated at,大坂艺术大学
纳帕县,shares border with,索拉诺县
遥控器,topic's main category,Category:遥控
Search,cast member,艾琳·麦克马洪
德班,twinned administrative body,埃拉特
欧几里得,notable work,系统化
黄庭坚,occupation,书法家
巴布亚新几内亚,language used,Bepour
美国国防部,subsidiary,United States Military Entrance Processing Command
威斯特伐利亚和约,has part,明斯特和约
木下邦家,blood type,O
量子力学,creator,沃尔夫冈·泡利
纳帕县,shares border with,索诺马县
Search,cast member,Jarmila Novotná
德班,twinned administrative body,广州市
欧几里得,present in work,神曲
黄庭坚,occupation,画家
巴布亚新几内亚,language used,Maisin
美国国防部,subsidiary,美国海军部
威斯特伐利亚和约,has part,Treaty of Münster
量子力学,creator,马克斯·玻恩
纳帕县,list of monuments,National Register of Historic Places listings in Napa County California
Search,cast member,温德尔·科瑞
德班,twinned administrative body,瓦赫兰
欧几里得,time period,希腊化时代
黄庭坚,movement,江西诗派
巴布亚新几内亚,language used,Ankave
美国国防部,subsidiary,美国陆军部
威斯特伐利亚和约,has part,treaty of Osnabrück
量子力学,creator,帕斯库尔·约当
纳帕县,topic's main category,Category:Napa County California
Search,cast member,伊凡·扬德尔
德班,twinned administrative body,布拉瓦约
欧几里得,described by source,Jewish Encyclopedia of Brockhaus and Efron
黄庭坚,described by source,晚笑堂画传
巴布亚新几内亚,language used,Pyu language
美国国防部,subsidiary,美国陆军工程兵部队
量子力学,history of topic,量子力学史
纳帕县,category of associated people,Category:People from Napa County California
Search,director of photography,Emil Berna
德班,twinned administrative body,大田广域市
欧几里得,described by source,Small Brockhaus and Efron Encyclopedic Dictionary
黄庭坚,described by source,Obalky knih.cz
巴布亚新几内亚,language used,Fasu
美国国防部,subsidiary,中央情报局
量子力学,topic's main template,Template:量子力学
纳帕县,category for maps,Category:Maps of Napa County California
Search,film editor,Hermann Haller
德班,twinned administrative body,马普托
欧几里得,described by source,布罗克豪斯-艾佛隆百科词典
巴布亚新几内亚,language used,Maria language
美国国防部,subsidiary,美国国防情报局
量子力学,topic's main template,Template:Quantum mechanics topics
Search,composer,Robert Blum
德班,twinned administrative body,利伯维尔
欧几里得,described by source,Riemann's Music Dictionary (1901–1904)
巴布亚新几内亚,language used,Kwanga
美国国防部,subsidiary,国防威胁降低局
量子力学,topic's main category,Category:量子力学
Search,producer,Lazar Wechsler
德班,twinned administrative body,马拉开波
欧几里得,described by source,大英百科全书第十一版
巴布亚新几内亚,language used,Minaveha
美国国防部,subsidiary,美国空军
量子力学,on focus list of Wikimedia project,Wikipedia:基础条目
Search,production company,米高梅公司
德班,twinned administrative body,亚历山大港
欧几里得,described by source,1870 Dictionary of Greek and Roman Biography and Mythology
巴布亚新几内亚,language used,Mesem language
美国国防部,subsidiary,美国国防后勤局
Search,distributed by,米高梅公司
欧几里得,described by source,Real'nyj slovar' klassicheskih drevnostej po Ljubkeru
巴布亚新几内亚,language used,Mum
美国国防部,subsidiary,Cyber Defense Agency (United States)
德班,twinned administrative body,库里奇巴
欧几里得,described by source,BEIC Digital Library
巴布亚新几内亚,language used,Mubami
美国国防部,subsidiary,美国国家地理空间情报局
欧几里得,described by source,Dictionary of African Biography
巴布亚新几内亚,language used,Mindiri
美国国防部,subsidiary,军用医疗系统
德班,twinned administrative body,南特
欧几里得,described by source,Obalky knih.cz
巴布亚新几内亚,language used,Musar
美国国防部,subsidiary,导弹防御局
Search,color,黑白
德班,twinned administrative body,安特卫普
欧几里得,different from,欧布利德斯
巴布亚新几内亚,language used,Musak
美国国防部,subsidiary,美国国防资讯系统局
Search,award received,最佳故事
德班,twinned administrative body,约翰内斯堡
欧几里得,different from,欧几里得卫星
巴布亚新几内亚,language used,Mulaha
美国国防部,subsidiary,Defense Information School
Search,award received,国家评论协会奖：十大佳片
德班,twinned administrative body,不来梅
欧几里得,topic's main category,Category:欧几里得
巴布亚新几内亚,language used,Meramera
美国国防部,subsidiary,美国陆军部长
Search,nominated for,奥斯卡最佳男主角奖
德班,twinned administrative body,勒波尔（留尼旺岛）
欧几里得,on focus list of Wikimedia project,Wikipedia:基础条目
巴布亚新几内亚,language used,Mehek
美国国防部,subsidiary,美国国防安全合作局
Search,nominated for,奥斯卡最佳导演奖
德班,twinned administrative body,蒙巴萨
巴布亚新几内亚,language used,Mari language
美国国防部,subsidiary,部长办公室
Search,nominated for,最佳故事
巴布亚新几内亚,language used,Miu
美国国防部,subsidiary,国防人力资源活动
Search,nominated for,奥斯卡最佳改编剧本奖
德班,owner of,Princess Magogo Stadium
巴布亚新几内亚,language used,Atemble
美国国防部,subsidiary,美国国防技术信息中心
Search,FSK film rating,FSK 12
德班,owner of,Sugar Ray Xulu Stadium
巴布亚新几内亚,language used,Mekmek
美国国防部,subsidiary,美国国家安全局
德班,topic's main category,Category:Durban
巴布亚新几内亚,language used,Marik
美国国防部,subsidiary,Assistant Secretary of Defense for Health Affairs
德班,category of associated people,Category:德班人
巴布亚新几内亚,language used,Migum
美国国防部,subsidiary,Joint Interoperability Test Command
德班,category for people who died here,Category:Deaths in Durban
巴布亚新几内亚,language used,Ronji
美国国防部,subsidiary,Defense & Veterans Center for Integrative Pain Management
德班,category for maps,Category:Maps of Durban
巴布亚新几内亚,language used,Momare
美国国防部,subsidiary,美国国防部督察长室
巴布亚新几内亚,language used,Mari language
美国国防部,subsidiary,国防安全处
巴布亚新几内亚,language used,Mape
美国国防部,subsidiary,Defense Mapping Agency
巴布亚新几内亚,language used,Moikodi
美国国防部,subsidiary,美国陆军航空军
巴布亚新几内亚,language used,阿列卡诺语
美国国防部,subsidiary,Defense Legal Services Agency
巴布亚新几内亚,language used,Minanibai
美国国防部,subsidiary,Office of the General Counsel Department of Defense
巴布亚新几内亚,language used,Chambri
美国国防部,subsidiary,美国国防部军营超市管理处
巴布亚新几内亚,language used,Nete language
美国国防部,owner of,星条旗报
巴布亚新几内亚,language used,Nend
美国国防部,owner of,Shades of Green
巴布亚新几内亚,language used,Neko
巴布亚新几内亚,language used,Nek
巴布亚新几内亚,language used,Auwe
美国国防部,replaces,美国战争部
巴布亚新几内亚,language used,Arammba
美国国防部,replaces,美国海军部
巴布亚新几内亚,language used,Urat
美国国防部,award received,Doublespeak Award
巴布亚新几内亚,language used,Aribwatsa
美国国防部,topic's main category,Category:美国国防部
巴布亚新几内亚,language used,Ngala
巴布亚新几内亚,language used,Minidien
巴布亚新几内亚,language used,Saposa
巴布亚新几内亚,language used,Bola
巴布亚新几内亚,language used,Nafi
巴布亚新几内亚,language used,Siawi
巴布亚新几内亚,language used,Nabi
巴布亚新几内亚,language used,Siar-Lak
巴布亚新几内亚,language used,Purari
巴布亚新几内亚,language used,Misima language
巴布亚新几内亚,language used,Solos
巴布亚新几内亚,language used,Mussau-Emira
巴布亚新几内亚,language used,Musom
巴布亚新几内亚,language used,范沃语
巴布亚新几内亚,language used,Budibud
巴布亚新几内亚,language used,Brem
巴布亚新几内亚,language used,Bulu language
巴布亚新几内亚,language used,Buhutu
巴布亚新几内亚,language used,Breri
巴布亚新几内亚,language used,Burum language
巴布亚新几内亚,language used,Boselewa
巴布亚新几内亚,language used,Bulgebi
巴布亚新几内亚,language used,Bwanabwana
巴布亚新几内亚,language used,Bongu
巴布亚新几内亚,language used,Narak
巴布亚新几内亚,language used,Bunama
巴布亚新几内亚,language used,Bonkiman
巴布亚新几内亚,language used,Borong
巴布亚新几内亚,language used,Chenapian
巴布亚新几内亚,language used,Qaqet
巴布亚新几内亚,language used,Muyuw
巴布亚新几内亚,language used,Suau
巴布亚新几内亚,language used,Bamu
巴布亚新几内亚,language used,Beami
巴布亚新几内亚,language used,Apali
巴布亚新几内亚,language used,Anjam
巴布亚新几内亚,language used,Nimo
巴布亚新几内亚,language used,Waris
巴布亚新几内亚,language used,Kairak
巴布亚新几内亚,language used,Binandere
巴布亚新几内亚,language used,Changriwa
巴布亚新几内亚,language used,Amara
巴布亚新几内亚,language used,Asaro'o
巴布亚新几内亚,language used,Heyo
巴布亚新几内亚,language used,Andra-Hus
巴布亚新几内亚,language used,Foia Foia
巴布亚新几内亚,language used,Anam
巴布亚新几内亚,language used,Ömie
巴布亚新几内亚,language used,Morigi
巴布亚新几内亚,language used,Anamgura
新山,instance of,city of Malaysia
中欧国际工商学院,instance of,商学院
新德里,instance of,首都
洛桑大学,instance of,公立大学
赫伯特·亚历山大·西蒙,instance of,人类
桂林电子科技大学,instance of,大学
巴布亚新几内亚,language used,Yil
新山,instance of,城市
新德里,instance of,大城市
洛桑大学,rector,Nouria Hernandez
后发座,named after,贝勒尼基二世
巴布亚新几内亚,language used,Nanubae
保守主义,instance of,政治思想
购买力平价,instance of,经济指标
美国独立战争,instance of,民族解放战争
邓小平,instance of,人类
利物浦足球俱乐部,instance of,足球俱乐部
亚里士多德逻辑,subclass of,经典逻辑
新山,instance of,边境城镇
中欧国际工商学院,located in the administrative territorial entity,上海市
新德里,instance of,district of India
洛桑大学,rector,Dominique Arlettaz
后发座,named after,头发
桂林电子科技大学,located in the administrative territorial entity,桂林市
黎巴嫩,instance of,主权国家
巴布亚新几内亚,language used,Sio
保守主义,discoverer or inventor,埃德蒙·伯克
亚里士多德逻辑,topic's main category,Category:Term logic
戴传曾,instance of,人类
新山,instance of,大城市
中欧国际工商学院,headquarters location,上海市
赫伯特·亚历山大·西蒙,given name,赫伯特
后发座,shares border with,猎犬座
黎巴嫩,instance of,Mediterranean country
巴布亚新几内亚,language used,Monumbo
罗家英,instance of,人类
不确定性,subclass of,否认
腾讯影业,instance of,电影制片公司
乌尔都语,instance of,语言
WhatsApp,instance of,即时通讯工具
Safari,instance of,人类
保守主义,described by source,Encyclopedia of Political Theory (2010 ed.)
利物浦足球俱乐部,head coach,José Puente
赫伯特·亚历山大·西蒙,given name,Alexander
后发座,shares border with,大熊座
巴布亚新几内亚,language used,Burui
腾讯影业,industry,电影产业
乌尔都语,instance of,现代语言
WhatsApp,instance of,流动应用程式
保守主义,described by source,The Nuttall Encyclopædia
邓小平,given name,小平
利物浦足球俱乐部,league,乌拉圭足球甲级联赛
戴传曾,family name,戴
新山,capital of,柔佛州
中欧国际工商学院,category for alumni of educational institution,Category:中欧国际工商学院校友
洛桑大学,member of,开放研究员和贡献者标识符
赫伯特·亚历山大·西蒙,family name,西蒙
黎巴嫩,official language,阿拉伯语
巴布亚新几内亚,language used,Morawa
罗家英,country of citizenship,中华民国 (1912–1949)
不确定性,subclass of,risk source
乌尔都语,instance of,文学语言
WhatsApp,founded by,Brian Acton
Safari,country of citizenship,荷兰共和国
保守主义,different from,保育运动
美国独立战争,participant,近代早期法兰西王国
邓小平,family name,邓
利物浦足球俱乐部,home venue,Estadio Belvedere
戴传曾,place of birth,宁波市
新山,capital of,柔佛苏丹王朝
新德里,capital of,布兰德沙哈尔县
洛桑大学,member of,欧洲首都大学联盟
赫伯特·亚历山大·西蒙,place of birth,密尔沃基
后发座,shares border with,室女座
巴布亚新几内亚,language used,Aruamu
罗家英,country of citizenship,英属香港
不确定性,part of,psychology terminology
乌尔都语,subclass of,卡里方言
WhatsApp,founded by,Jan Koum
Safari,country of citizenship,西弗兰德省
保守主义,topic's main Wikimedia portal,Portal:Conservatism
美国独立战争,participant,迈索尔王国
邓小平,place of birth,广安市
戴传曾,place of death,北京市
新山,capital of,新山县
新德里,capital of,德里
洛桑大学,member of,Triangle Azur
后发座,shares border with,牧夫座
黎巴嫩,anthem,黎巴嫩国歌
巴布亚新几内亚,language used,Mountain Koiali
不确定性,opposite of,确定性
乌尔都语,subclass of,印度斯坦语
Safari,family name,Savery
保守主义,topic's main category,Category:保守主义
美国独立战争,participant,佛蒙特共和国
邓小平,place of death,北京市
利物浦足球俱乐部,headquarters location,蒙得维的亚
新山,located in the administrative territorial entity,柔佛州
新德里,located in the administrative territorial entity,德里
洛桑大学,member of,欧洲大学协会
赫伯特·亚历山大·西蒙,cause of death,surgical complications
后发座,discoverer or inventor,科农
黎巴嫩,culture,黎巴嫩文化
巴布亚新几内亚,language used,Mufian
罗家英,family name,罗
不确定性,partially coincident with,怀疑
乌尔都语,subclass of,Central Indo-Aryan languages
WhatsApp,based on,XMPP
Safari,place of birth,科特赖克
保守主义,on focus list of Wikimedia project,Wikipedia:基础条目
美国独立战争,participant,奥奈达人
邓小平,manner of death,自然死亡
利物浦足球俱乐部,topic's main category,Category:Liverpool F.C. (Montevideo)
戴传曾,occupation,核子科学家
新山,located in time zone,东八区
新德里,located in or next to body of water,亚穆纳河
洛桑大学,member of,法语圈大学组织
后发座,described by source,大保利古典学百科全书
巴布亚新几内亚,language used,Arop-Lokep
不确定性,different from,uncertainty
乌尔都语,part of,印度斯坦语
WhatsApp,developer,WhatsApp Inc.
Safari,place of death,乌得勒支
美国独立战争,participant,塔斯卡洛拉人
邓小平,cause of death,帕金森氏症
利物浦足球俱乐部,category for members of a team,Category:蒙特维多利物浦球员
新山,twinned administrative body,吉达
新德里,head of state,Anil Baijal
洛桑大学,subsidiary,Institut Supérieur pour l'Etude des Religions et de la Laïcité
后发座,topic's main template,Template:后发座恒星
巴布亚新几内亚,language used,Nukuria
罗家英,father,罗家权
乌尔都语,part of,印度-雅利安语支
Safari,sibling,Jacob Savery
美国独立战争,participant,Watauga Association
邓小平,spouse,张锡媛
戴传曾,member of,中国科学院数学物理学部
新山,twinned administrative body,伊斯坦堡
新德里,head of government,Arvind Kejriwal
洛桑大学,subsidiary,Institute of Social and Preventive Medicine
赫伯特·亚历山大·西蒙,occupation,政治人物
后发座,topic's main category,Category:后发座
巴布亚新几内亚,language used,Abaga
罗家英,spouse,汪明荃
Safari,languages spoken written or signed,荷兰语
美国独立战争,participant,德拉瓦族
邓小平,spouse,金维映
新山,shares border with,依斯干达公主城
新德里,located in time zone,UTC+05:30
赫伯特·亚历山大·西蒙,occupation,社会学者
巴布亚新几内亚,language used,Daantanai’ language
乌尔都语,part of,Central Indo-Aryan languages
WhatsApp,operating system,视窗电话
Safari,occupation,画家
美国独立战争,participant,荷兰共和国
邓小平,spouse,卓琳
新山,shares border with,巴西古当
洛桑大学,topic's main category,Category:洛桑大学
赫伯特·亚历山大·西蒙,occupation,大学教员
黎巴嫩,located on terrain feature,黎凡特
巴布亚新几内亚,language used,Daga
罗家英,occupation,歌剧演唱家
乌尔都语,part of,卡里方言
WhatsApp,operating system,塞班
Safari,movement,荷兰黄金时代绘画
美国独立战争,participant,大不列颠王国
邓小平,child,邓朴方
戴传曾,student of,詹姆斯·查德威克
新山,shares border with,柔佛海峡
新德里,twinned administrative body,伦敦
洛桑大学,category for employees of the organization,Category:洛桑大学教师
赫伯特·亚历山大·西蒙,occupation,电脑科学家
黎巴嫩,highest point,Qurnat as Sawda'
巴布亚新几内亚,language used,Dadibi
罗家英,occupation,演员
WhatsApp,operating system,40系列
Safari,student of,Jacob Savery
美国独立战争,participant,十三个殖民地
邓小平,child,邓楠
戴传曾,described by source,中国科学技术专家传略·理学编·物理学卷二
新山,topic's main category,Category:新山县
洛桑大学,category for alumni of educational institution,Category:洛桑大学校友
赫伯特·亚历山大·西蒙,occupation,政治学家
巴布亚新几内亚,language used,Awara
罗家英,occupation,电视演员
WhatsApp,operating system,Tizen
Safari,student of,Hans Bol
美国独立战争,described by source,亚美尼亚苏维埃百科全书
邓小平,child,邓榕
新山,category of associated people,Category:新山人
新德里,twinned administrative body,乌兰巴托
赫伯特·亚历山大·西蒙,employer,卡内基梅隆大学
黎巴嫩,office held by head of state,黎巴嫩总统
巴布亚新几内亚,language used,Awad Bing
罗家英,instrument,声乐
乌尔都语,country,斐济
WhatsApp,operating system,Microsoft Windows
Safari,ethnic group,弗拉芒人
美国独立战争,described by source,布罗克豪斯-艾佛隆百科词典
邓小平,child,邓质方
新山,category for people born here,Category:Born in Johor Bahru
新德里,twinned administrative body,福冈县
赫伯特·亚历山大·西蒙,employer,伊利诺理工学院
黎巴嫩,head of state,米切尔·奥恩
巴布亚新几内亚,language used,Laeko language
WhatsApp,operating system,macOS
Safari,notable work,The poet crowned by two apes at the feast of the animals
美国独立战争,has part,那嘎怕塔姆战役
新山,category for people who died here,Category:Deaths in Johor Bahru
新德里,twinned administrative body,叶里温
赫伯特·亚历山大·西蒙,member of,美国国家科学院
黎巴嫩,office held by head of government,黎巴嫩总理
巴布亚新几内亚,language used,Awa language
WhatsApp,programming language,Erlang
Safari,notable work,Elijah fed by the ravens
美国独立战争,has part,Western theater of the American Revolutionary War
邓小平,occupation,政治人物
新德里,twinned administrative body,马尼拉市
赫伯特·亚历山大·西蒙,member of,美国文理科学院
黎巴嫩,head of government,萨阿德·哈里里
巴布亚新几内亚,language used,Pa language
WhatsApp,copyright license,专有软件
Safari,notable work,Landscape with ruins cattle and deer
美国独立战争,has part,直布罗陀围城大战
邓小平,occupation,新闻工作者
新德里,twinned administrative body,贝尔格莱德
赫伯特·亚历山大·西蒙,member of,计算机协会
黎巴嫩,legislative body,黎巴嫩国会
巴布亚新几内亚,language used,Nukna
WhatsApp,has part,信令协议
Safari,genre,静物画
美国独立战争,has part,白兰地酒战役
邓小平,occupation,外交官
赫伯特·亚历山大·西蒙,member of,世界科学院
黎巴嫩,central bank,黎巴嫩银行
巴布亚新几内亚,language used,Bragat
乌尔都语,linguistic typology,主宾动语序
WhatsApp,has part,qcom.c
Safari,described by source,The Great Theatre of Dutch Painters
美国独立战争,has part,长岛会战
邓小平,position held,中华人民共和国最高领导人
新德里,twinned administrative body,华盛顿哥伦比亚特区
巴布亚新几内亚,language used,Awiyaana
乌尔都语,linguistic typology,syllabic language
WhatsApp,topic's main category,Category:WhatsApp
Safari,described by source,Teutsche Academie der Edlen Bau- Bild- und Mahlerey-Künste
美国独立战争,has part,邦克山战役
邓小平,position held,中国共产党中央军事委员会主席
新德里,twinned administrative body,东京都
赫伯特·亚历山大·西蒙,doctoral advisor,亨利·舒尔茨
巴布亚新几内亚,language used,Puari language
乌尔都语,linguistic typology,屈折语
Safari,described by source,Schilder-boeck
美国独立战争,has part,波士顿之围
邓小平,position held,中国人民政治协商会议全国委员会主席
新德里,twinned administrative body,首尔
赫伯特·亚历山大·西蒙,doctoral advisor,哈罗德·拉斯威尔
黎巴嫩,diplomatic relation,巴勒斯坦
巴布亚新几内亚,language used,Bukiyip
Safari,described by source,Lives of Flemish German and Dutch painters
美国独立战争,has part,本宁顿战争
邓小平,position held,中华人民共和国中央军事委员会主席
赫伯特·亚历山大·西蒙,doctoral student,爱德华·费根鲍姆
巴布亚新几内亚,language used,Daonda
乌尔都语,writing system,乌尔都字母
Safari,described by source,The Lives of Dutch painters and paintresses
美国独立战争,has part,列克星敦和康科德战役
邓小平,position held,中华人民共和国国务院副总理
新德里,twinned administrative body,撒马尔罕
赫伯特·亚历山大·西蒙,doctoral student,Richard E. Korf
巴布亚新几内亚,language used,Andarum
乌尔都语,language regulatory body,国家语言管理局
Safari,described by source,Meyers Konversations-Lexikon (1888–1889)
美国独立战争,topic's main Wikimedia portal,Portal:American Revolutionary War
邓小平,movement,现代化
新德里,shares border with,中德里
赫伯特·亚历山大·西蒙,student of,哈罗德·拉斯威尔
巴布亚新几内亚,language used,Numanggang
乌尔都语,Ethnologue language status,1 National
Safari,described by source,德国通用传记
美国独立战争,topic's main category,Category:美国独立战争
邓小平,educated at,莫斯科中山大学
新德里,different from,德里
赫伯特·亚历山大·西蒙,religion,无神论
黎巴嫩,diplomatic relation,伊朗
巴布亚新几内亚,language used,Awtuw
乌尔都语,indigenous to,莫哈吉尔人
Safari,described by source,Obalky knih.cz
邓小平,educated at,莫斯科东方大学
新德里,topic's main category,Category:新德里
赫伯特·亚历山大·西蒙,participant in,达特矛斯会议
黎巴嫩,diplomatic relation,圣座
巴布亚新几内亚,language used,Chuave
乌尔都语,indigenous to,摩陀耶提舍人
Safari,has works in the collection,博伊曼斯·范伯宁恩美术馆
新德里,category of associated people,Category:新德里出身人物
赫伯特·亚历山大·西蒙,notable work,Administrative Behavior
黎巴嫩,diplomatic relation,沙特阿拉伯
巴布亚新几内亚,language used,Nor language
Safari,has works in the collection,施泰德艺术馆
邓小平,religion,无神论
新德里,category for people born here,Category:Births in New Delhi
赫伯特·亚历山大·西蒙,archives at,卡内基梅隆大学
巴布亚新几内亚,language used,Nakwi
乌尔都语,indigenous to,查谟-克什米尔邦
Safari,has works in the collection,奥克兰美术馆
邓小平,medical condition,帕金森氏症
新德里,category for people who died here,Category:Deaths in New Delhi
赫伯特·亚历山大·西蒙,influenced by,理查德·伊利
巴布亚新几内亚,language used,Aruek
乌尔都语,indigenous to,马哈拉施特拉邦
Safari,has works in the collection,提森-博内米萨博物馆
邓小平,military rank,总司令
新德里,category for maps,Category:Maps of New Delhi
赫伯特·亚历山大·西蒙,award received,图灵奖
巴布亚新几内亚,language used,Rawo
Safari,has works in the collection,保罗·盖蒂博物馆
邓小平,conflict,中国抗日战争
巴布亚新几内亚,language used,Aigon language
乌尔都语,indigenous to,德里
Safari,has works in the collection,国家艺廊
邓小平,military branch,中国人民解放军
赫伯特·亚历山大·西蒙,award received,约翰·冯·纽曼理论奖
黎巴嫩,diplomatic relation,亚美尼亚
巴布亚新几内亚,language used,Beli language
乌尔都语,indigenous to,贾坎德邦
Safari,has works in the collection,瑞典国立博物馆
邓小平,significant event,邓小平南巡
赫伯特·亚历山大·西蒙,award received,美国国家科学奖章
巴布亚新几内亚,language used,Mol
乌尔都语,indigenous to,比哈尔邦
Safari,has works in the collection,加拿大国立美术馆
邓小平,topic's main category,Category:邓小平
赫伯特·亚历山大·西蒙,award received,威廉·普罗克特科技成果奖
巴布亚新几内亚,language used,Kwomtari
乌尔都语,indigenous to,海得拉巴
Safari,has works in the collection,里尔美术宫
赫伯特·亚历山大·西蒙,award received,哈罗德·彭德奖
巴布亚新几内亚,language used,Anuki
乌尔都语,topic's main Wikimedia portal,Portal:Urdu
Safari,copyright status as a creator,作品着作权期限已届满
赫伯特·亚历山大·西蒙,award received,乔赛亚·威拉德·吉布斯讲座
黎巴嫩,diplomatic relation,中华民国
巴布亚新几内亚,language used,Gogodala
乌尔都语,topic's main category,Category:乌尔都语
赫伯特·亚历山大·西蒙,award received,William James Fellow Award
黎巴嫩,diplomatic relation,阿拉伯联合酋长国
巴布亚新几内亚,language used,Dima
乌尔都语,category for films in this language,Category:Urdu-language films
赫伯特·亚历山大·西蒙,award received,APA Award for Lifetime Contributions to Psychology
巴布亚新几内亚,language used,Pagi
乌尔都语,related category,Category:Urdu pronunciation
赫伯特·亚历山大·西蒙,award received,IJCAI卓越研究奖
巴布亚新几内亚,language used,Dibiyaso
赫伯特·亚历山大·西蒙,award received,APA Award for Distinguished Scientific Contributions to Psychology
巴布亚新几内亚,language used,Oya’oya language
赫伯特·亚历山大·西蒙,award received,Distinguished Fellow of the American Economic Association
巴布亚新几内亚,language used,Baruga
赫伯特·亚历山大·西蒙,award received,ACM Fellow
黎巴嫩,diplomatic relation,孟加拉国
巴布亚新几内亚,language used,Takia
赫伯特·亚历山大·西蒙,award received,Fellow of the Econometric Society
黎巴嫩,diplomatic relation,格鲁吉亚
巴布亚新几内亚,language used,Barok
赫伯特·亚历山大·西蒙,award received,Fellow of the American Academy of Arts and Sciences
巴布亚新几内亚,language used,德拉语
赫伯特·亚历山大·西蒙,described by source,Obalky knih.cz
黎巴嫩,diplomatic relation,朝鲜民主主义人民共和国
巴布亚新几内亚,language used,Dedua
巴布亚新几内亚,language used,Degenan
黎巴嫩,member of,阿拉伯国家联盟
巴布亚新几内亚,language used,Dimir language
黎巴嫩,member of,伊斯兰会议组织
巴布亚新几内亚,language used,Tami
黎巴嫩,member of,国际复兴开发银行
巴布亚新几内亚,language used,Orokolo
巴布亚新几内亚,language used,Owenia
黎巴嫩,member of,国际金融公司
巴布亚新几内亚,language used,Bariai
黎巴嫩,member of,多边投资担保机构
巴布亚新几内亚,language used,欧罗开巴语
黎巴嫩,member of,国际投资争端解决中心
巴布亚新几内亚,language used,Ounge language
黎巴嫩,member of,Arab Bank for Economic Development in Africa
巴布亚新几内亚,language used,Ouma
黎巴嫩,member of,Arab Fund for Economic and Social Development
巴布亚新几内亚,language used,Dawawa
黎巴嫩,member of,Arab Monetary Fund
巴布亚新几内亚,language used,Benabena
黎巴嫩,member of,国际刑警组织
巴布亚新几内亚,language used,Onobasulu
黎巴嫩,member of,禁止化学武器组织
巴布亚新几内亚,language used,Ogea
黎巴嫩,member of,联合国教育、科学与文化组织
巴布亚新几内亚,language used,Aneme Wake
黎巴嫩,member of,万国邮政联盟
巴布亚新几内亚,language used,Danaru
巴布亚新几内亚,language used,Abelam language
黎巴嫩,member of,法语国家及地区国际组织
巴布亚新几内亚,language used,Bumbita language
黎巴嫩,member of,International Civil Defence Organisation
巴布亚新几内亚,language used,安哥尔语
巴布亚新几内亚,language used,Opao
黎巴嫩,contains administrative territorial entity,贝鲁特省
巴布亚新几内亚,language used,Dano
